PIC NUM | DOOR INCLUDED | CAMERA GLOBAL POSITION | CAMERA GLOBAL ORIENTATION | DISTANCE | ANGLE
1 | DOOR4 | 2.5,1.40,1.26 | 90,-90,0 | 2.5 | 90 |
2 | DOOR4,DOOR5 | 4.0,1.40,1.26 | 90,-90,0 | 4.0 | 90 |
3 | DOOR4,DOOR5 | 5.5,1.40,1.26 | 90,-90,0 | 5.5 | 90 |
4 | DOOR3,DOOR4,DOOR5 | 7.0,1.40,1.26 | 90,-90,0 | 7 | 90 |
5 | DOOR2,DOOR3,DOOR4,DOOR5 | 8.5,1.40,1.26 | 90,-90,0 | 8.5 | 90 |
6 | DOOR2,DOOR4,DOOR5 | 10.0,1.40,1.26 | 90,-90,0 | 10 | 90 |
7 | DOOR1,DOOR4 | 11.5,1.40,1.26 | 90,-90,0 | 11.5 | 90 |
8 | DOOR9 | 18.87,1.40,1.26 | 90,90,0 | 2.5 | 90 |
9 | DOOR9 | 17.37,1.40,1.26 | 90,90,0 | 4.0 | 90 |
10 | DOOR8,DOOR9 | 15.87,1.40,1.26 | 90,90,0 | 5.5 | 90 |
11 | DOOR7,DOOR8,DOOR9 | 14.37,1.40,1.26 | 90,90,0 | 7 | 90 |
12 | DOOR6,DOOR7,DOOR8,DOOR9 | 12.87,1.40,1.26 | 90,90,0 | 8.5 | 90 |
13 | DOOR6,DOOR7,DOOR9 | 11.37,1.40,1.26 | 90,90,0 | 10 | 90 |
14 | DOOR6,DOOR9 | 9.87,1.40,1.26 | 90,90,0 | 11.5 | 90 |
15 | DOOR1,DOOR9 | 6.48,2.23,1.26 | 90,60,0 | 3.0 | 30 |
16 | DOOR1 | 7.39,2.94,1.26 | 90,30,0 | 3.0 | 60 |
17 | DOOR1 | 8.79,3.30,1.26 | 90,0,0 | 3.0 | 90 |
18 | DOOR1 | 9.99,3.03,1.26 | 90,-30,0 | 3.0 | 120 |
19 | DOOR1,DOOR5 | 10.96,2.27,1.26 | 90,-60,0 | 3.0 | 150 |
20 | DOOR2,DOOR3 | 5.0,2.7,1.26 | 90,-120,0 | 2.8 | 30 |
21 | DOOR2,DOOR3 | 4.03,1.47,1.26 | 90,-150,0 | 2.8 | 60 |
22 | DOOR2,DOOR3 | 2.42,0.93,1.26 | 90,-90,0 | 2.8 | 90 | 
23 | DOOR2,DOOR3 | 0.75,1.15,1.26 | 90,150,0 | 2.8 | 120 |
24 | DOOR5 | 0.86,2.88,1.26 | 90,30,0 | 3.0 | 60 |
25 | DOOR5 | 2.55,3.3,1.26 | 90,0,0 | 3.0 | 90 |
26 | DOOR5 | 3.78,3,1.26 | 90,-30,0 | 3.0 | 120 |
27 | DOOR4,DOOR5 | 4.75,2.27,1.26 | 90,-60,0 | 3.0 | 150 | 
28 | DOOR4,DOOR5 | 4.80,3.60,1.26 | # | # | # |
29 | DOOR2,DOOR3,DOOR4 | 6.41,0.75,1.26 | # | # | # | 
30 | DOOR1,DOOR4,DOOR5 | 10.54,2.70,1.26 | # | # | # |
31 | DOOR8,DOOR9 | 15.32,1.76,1.26 | # | # | # |
32 | DOOR6,DOOR7 | 12.94,0.75,1.26 | # | # | # |
33 | DOOR6,DOOR7,DOOR9 | 12.94,0.75,1.26 | # | # | # |
