PIC NUM | DOORS DETECTED | CAMERA POSITION (m) | CAMERA ORIENTATION (deg) | TIME ELAPSED (s): 1st|2nd|3rd
01 | DOOR4 | 2.535,1.513,1.091 | 29.451,-88.614,-60.666 | 30.59,3.94,0.0058,34.88 
02 | DOOR4 DOOR5 | 4.045,1.611,0.82 | 41.496,-84.477,-49.208 | 28.8,5.08,0.0089,34.15 
03 | DOOR4 DOOR5 | 5.479,1.453,1.285 | 130.837,-87.231,40.187 | 29.79,4.84,0.0057,34.86 
04 | DOOR3 DOOR4 DOOR5 | 6.882,1.317,1.304 | -21.607,-87.957,-112.065 | 29.97,6.12,0.0209,36.25 
05 | DOOR3 DOOR4 DOOR5 | 8.283,1.418,1.149 | 110.771,-88.604,21.516 | 30.99,5.96,0.0533,37.08 
06 | DOOR2 DOOR4 DOOR5 | 9.772,1.681,1.036 | 94.709,-86.504,1.036 | 30.52,5.18,0.0083,35.76 
07 | DOOR1 DOOR2 DOOR4 DOOR9 | 11.421,1.449,1.225 | 137.333,-87.826,48.004 | 30.02,6.9,0.0055,37.08 
08 | DOOR9 | 18.852,1.463,1.184 | 120.595,88.849,-30.534 | 29.75,3.41,0.0128,33.47 
09 | DOOR9 | 17.421,1.394,0.656 | 156.884,95.937,-67.113 | 30.82,2.16,0.0634,33.17 
10 | DOOR8 DOOR9 | 15.931,1.635,1.11 | 104.519,87.553,-14.986 | 29.73,4.33,0.005,34.21 
11 | DOOR6 DOOR7 DOOR8 DOOR9 | 14.533,1.67,-0.121 | -6.368,98.935,95.929 | 29.13,9.4,0.0072,38.89 
12 | DOOR6 DOOR7 DOOR8 DOOR9 | 13.127,1.724,-0.577 | -7.15,79.879,96.559 | 29.46,9.48,0.0151,39.2 
13 | DOOR6 DOOR7 DOOR9 | 11.487,1.382,1.313 | 212.096,86.881,-122.616 | 31.52,5.74,0.0179,37.37 
14 | DOOR6 DOOR9 | 8.554,1.247,2.236 | 178.031,79.209,-90.596 | 29.4,2.81,0.0038,32.26 
15 | DOOR1 DOOR9 | 6.251,2.107,1.099 | 88.328,60.339,3.408 | 30.23,3.73,0.0029,34.06 
16 | DOOR1 | 7.675,3.418,1.33 | 94.426,21.273,-2.059 | 29.67,2.93,0.0042,32.75 
17 | DOOR1 | 9.171,3.301,0.985 | 86.846,-6.157,0.777 | 32.62,7.07,0.0296,39.87 
18 | DOOR1 | 10.251,2.941,1.068 | 87.961,-27.03,-0.254 | 32.88,8.08,0.006,41.12
19 | DOOR1 DOOR5 | 10.945,1.933,1.198 | 91.018,-50.48,1.896 | 29.93,5.51,0.0026,35.62 
20 | DOOR2 DOOR3 | 4.946,2.545,1.283 | 86.24,-121.573,-2.845 | 29.81,5.52,0.0029,35.61 
21 | DOOR2 DOOR3 | 3.986,1.58,1.381 | 85.806,-142.055,-2.259 | 29.95,6.4,0.0066,36.75 
22 | DOOR2 DOOR3 | 2.378,0.859,1.266 | 88.368,-0.911,-0.457 | 33.09,13.8,0.0094,47.31 
23 | DOOR2 DOOR3 | 0.922,1.111,1.355 | 87.048,-32.626,3.103 | 32.27,6.94,0.005,39.7 
24 | DOOR5 | 1.067,3.003,1.31 | 93.575,27.689,-1.132 | 29.94,4.46,0.0039,34.75 
25 | DOOR5 | 2.511,3.324,1.163 | 89.943,-0.571,0.347 | 30.0,4.42,0.0051,34.76 
26 | DOOR5 | 3.703,3.08,1.046 | 88.519,-24.123,1.36 | 30.35,4.49,0.0031,35.16 
27 | DOOR4 DOOR5 | 4.796,2.461,1.19 | 91.934,-46.508,2.293 | 30.01,5.69,0.0044,36.04 
28 | DOOR4 DOOR5 | 4.9,3.394,0.878 | 86.226,-48.834,-2.456 | 29.63,5.78,0.006,35.75 
29 | DOOR2 DOOR3 DOOR4 | 6.301,0.214,1.302 | 86.377,-121.912,-3.236 | 29.72,6.13,0.0054,36.07 
30 | DOOR1 DOOR4 DOOR5 | 10.567,2.621,1.317 | 94.186,-58.251,3.088 | 29.68,7.01,0.0064,36.93 
31 | DOOR8 DOOR9 | 15.451,1.99,1.148 | 93.261,67.279,-2.886 | 30.0,3.97,0.0046,34.09 
32 | DOOR6 DOOR7 | 12.883,0.618,1.145 | 89.028,-42.398,2.886 | 30.7,6.07,0.0078,36.96 
33 | DOOR6 DOOR7 DOOR9 | 13.108,1.03,2.238 | 66.802,119.643,18.659 | 30.24,6.77,0.0091,37.26 
