PIC NUM | DOORS DETECTED | CAMERA POSITION (m) | CAMERA ORIENTATION (deg) | TIME ELAPSED (s): 1st|2nd|3rd
01 | DOOR4 | 2.529,1.48,1.098 | 78.22,-86.692,-12.819 | 30.16,3.76,0.0045,34.25 |
02 | DOOR4 DOOR5 | 4.037,1.454,0.892 | 25.256,-92.824,-65.02 | 29.89,4.67,0.0069,34.77 |
03 | DOOR4 DOOR5 | 5.599,1.481,1.244 | 144.733,-87.55,54.16 | 29.89,4.67,0.0088,34.78 |
04 | DOOR3 DOOR4 DOOR5 | 6.975,1.23,0.975 | 103.062,-90.871,10.328 | 29.98,5.76,0.0118,35.87 |
05 | DOOR3 DOOR4 DOOR5 | 7.976,1.147,1.671 | 188.31,-84.28,95.965 | 33.18,6.69,0.0069,39.95|
06 | DOOR4 DOOR5 | 10.135,2.144,-0.273 | 37.594,-82.467,-52.316 | 29.64,3.36,0.0161,33.06 |
07 | DOOR1 DOOR2 DOOR4 | 11.412,1.456,1.244 | 164.636,-87.862,74.126 | 31.3,5.44,0.0069,36.89 |
08 | DOOR9 | 18.844,1.469,1.177 | 117.136,88.357,-27.967 | 31.06,3.59,0.0058,34.99 |
09 | DOOR9 | 17.449,1.501,0.689 | -2.992,95.138,91.678 | 31.63,2.05,0.0054,33.84 |
10 | DOOR9 | 15.704,1.045,1.606 | 43.464,98.699,45.389 | 30.85,1.43,0.1245,32.48 |
11 | DOOR7 DOOR8 DOOR9 | 14.546,1.675,-0.16 | -0.174,81.085,88.676 | 30.02,6.99,0.0067,37.2 |
12 | DOOR6 DOOR7 DOOR8 DOOR9 | 13.067,1.516,-0.656 | 168.96,100.119,-79.461 | 32.82,8.58,0.0074,41.61 |
13 | DOOR6 DOOR7 DOOR9 | 11.579,1.463,1.312 | 217.761,93.441,-128.223 | 31.04,5.25,0.0111,36.38 |
14 | DOOR6 DOOR9 | 10.249,1.558,1.368 | 165.144,93.173,-75.794 | 29.46,2.64,0.0081,32.15 |
15 | DOOR1 | 6.43,1.921,1.083 | 85.128,55.866,6.382 | 30.34,3.02,0.0037,33.49 |
16 | DOOR1 | 7.165,2.968,1.125 | 89.291,30.902,1.795 | 30.69,2.95,0.0028,33.77 |
17 | DOOR1 | 8.807,3.362,0.875 | 84.59,0.299,0.673 | 30.85,3.18,0.0226,34.21 |
18 | DOOR1 | 10.408,2.716,1.201 | 94.554,-33.392,2.268 | 36.06,3.5,0.0042,47.53 |
19 | DOOR1 DOOR5 | 11.103,2.132,1.174 | 94.874,-49.243,3.71 | 30.3,4.75,0.0025,35.18 |
20 | DOOR2 DOOR4 | 5.03,2.613,1.301 | 79.411,-116.313,-8.25 | 31.29,4.47,0.0022,35.96 |
21 | DOOR2 DOOR3 | 3.925,1.48,1.375 | 82.783,-146.691,-4.08 | 29.8,5.83,0.0135,35.97 |
22 | DOOR2 DOOR3 | 2.598,0.762,1.161 | 88.041,-176.592,-1.491 | 29.69,6.85,0.007,36.92 |
23 | DOOR2 DOOR3 | 0.879,1.188,1.172 | 88.034,-32.878,0.4 | 31.92,5.82,0.0024,38.05 |
24 | DOOR5 | 1.042,3.007,1.279 | 92.467,28.051,-1.519 | 30.55,4.06,0.0041,34.88 |
25 | DOOR5 | 2.558,3.36,1.249 | 92.366,2.22,0.782 | 30.17,4.47,0.0053,34.93 |
26 | DOOR4 DOOR5 | 3.761,3.073,1.06 | 89.838,-27.035,2.524 | 30.81,5.83,0.0038,36.94 |
27 | DOOR4 DOOR5 | 4.745,2.378,1.209 | 93.513,-45.37,3.728 | 30.03,5.73,0.0046,36.03 |
28 | DOOR4 DOOR5 | 4.831,3.174,1.197 | 92.414,-49.787,2.016 | 30.88,5.49,0.0046,36.66 |
29 | DOOR2 DOOR3 DOOR4 | 6.356,0.408,1.162 | 88.225,-114.463,-2.812 | 30.68,5.89,0.0065,36.75 |
30 | DOOR1 DOOR4 DOOR5 | 10.371,2.736,1.313 | 95.249,-56.76,4.232 | 30.98,7.37,0.0082,38.55 |
31 | DOOR8 DOOR9 | 15.499,1.889,1.218 | 97.746,72.451,-7.93 | 29.9,3.98,0.0048,34.0 |
32 | DOOR6 DOOR7 | 13.41,0.336,1.655 | 79.539,-41.7,5.819 | 30.62,5.42,0.0037,36.2 |
33 | DOOR6 DOOR7 DOOR9 | 13.25,0.811,1.102 | 86.963,116.691,3.684 | 30.38,7.06,0.0065,37.66 | 
