TAG	| IMAGE CPTS | SPACE CPTS
DOOR1.1.jpg | [(430,400),(580,280),(430,750),(580,750),(430,1150),(580,1300)] | [(9250,0,2170),(8250,0,2170),(9250,0,1085),(8250,0,1085),(9250,0,0),(8250,0,0)]
DOOR1.2.jpg | [(290,350),(600,300),(300,750),(600,775),(300,1150),(600,1250)] | [(9250,0,2170),(8250,0,2170),(9250,0,1085),(8250,0,1085),(9250,0,0),(8250,0,0)]
DOOR1.3.jpg | [(300,330),(700,330),(300,790),(700,790),(300,1250),(700,1250)] | [(9250,0,2170),(8250,0,2170),(9250,0,1085),(8250,0,1085),(9250,0,0),(8250,0,0)]
DOOR1.4.jpg | [(350,160),(680,310),(370,780),(690,770),(390,1400),(700,1230)] | [(9250,0,2170),(8250,0,2170),(9250,0,1085),(8250,0,1085),(9250,0,0),(8250,0,0)]
DOOR1.5.jpg | [(370,160),(560,320),(370,780),(570,770),(390,1400),(600,1200)] | [(9250,0,2170),(8250,0,2170),(9250,0,1085),(8250,0,1085),(9250,0,0),(8250,0,0)]
DOOR2.1.jpg | [(370,390),(560,270),(370,745),(555,770),(370,1100),(550,1270)] | [(2670,3490,2160),(3670,3490,2160),(2670,3490,1080),(3670,3490,1080),(2670,3490,50),(3670,3490,50)]
DOOR2.2.jpg | [(190,300),(580,220),(190,725),(580,745),(190,1150),(580,1270)] | [(2670,3490,2160),(3670,3490,2160),(2670,3490,1080),(3670,3490,1080),(2670,3490,50),(3670,3490,50)]
DOOR2.3.jpg | [(250,330),(750,340),(245,815),(750,815),(240,1300),(750,1300)] | [(2670,3490,2160),(3670,3490,2160),(2670,3490,1080),(3670,3490,1080),(2670,3490,50),(3670,3490,50)]
DOOR2.4.jpg | [(340,250),(690,390),(340,800),(685,785),(340,1330),(680,1180)] | [(2670,3490,2160),(3670,3490,2160),(2670,3490,1080),(3670,3490,1080),(2670,3490,50),(3670,3490,50)]
DOOR3.1.jpg | [(30,270),(600,270),(30,880),(600,880),(50,1490),(580,1480)] | [(1170,3490,2160),(2170,3490,2160),(1170,3490,1080),(2170,3490,1080),(1170,3490,50),(2170,3490,50)]
DOOR3.2.jpg | [(480,310),(650,160),(480,695),(640,700),(480,1080),(640,1250)] | [(1170,3490,2160),(2170,3490,2160),(1170,3490,1080),(2170,3490,1080),(1170,3490,50),(2170,3490,50)]
